Q17089726	'Radha Raman Shastri'
Q16832050	'Chandran'
Q15930458	'Manasi Moghe'
Q60770367	'Femina Miss India 2019'
Q21621002	'D. T. Chandrasekar'
Q31332595	nan
Q86005460	nan
Q86003112	nan
Q16873356	'M. Rathnasabapathy'
Q66425180	'Category:Ayushmann Khurrana'
Q7668733	'T. Swamikannu'
Q1261509	'Druskininkai'
Q19807257	nan
Q11716728	'Jaman Lal Sharma'
Q63985977	'Shakti Sena (Bharat Desh)'
Q1382194	'Pen'
Q43634851	'Kamlesh Thakor'
Q22696600	'Alfred Silvester Gonsalves'
Q65229300	'Harbhajan Singh'
Q5322105	'E. R. Krishnan'
Q7633711	'Sudesh Mahto'
Q65233902	'Ram Singh'
Q24565209	'Rangachari Madhavan'
Q63995073	'Potturi Tulasi Das'
Q6818771	'Mercy Kuttan'
Q63996398	'Prajapati Vitthalbhai Virdas'
Q651141	'All India Anna Dravida Munnetra Kazhagam'
Q7425811	'Sasthamkotta'
Q2656486	'Augustine Francis Wildermuth'
Q6456631	'L. Sasikala Pushpa'
Q63988717	'2014 Indian general election in Chennai South Lok Sabha constituency'
Q6167514	'Jayamant Mishra'
Q622137	'Lehigh University'
Q541513	'Simi Garewal'
Q63995798	'Jagranath Sahani'
Q7499420	'Shivpratap Singh'
Q62018142	'Dwarka'
Q31318269	'Kamandal'
Q63996145	'Akhil Bhartiya Sharma'
Q64000494	'Elango, D.'
Q1067471	'University of Calgary'
Q66306770	'1965 Indian Everest Expedition'
Q4805723	'Ashok Captain'
Q16864907	'Gadadhar Misra'
Q61556097	'Purna Chandra Majhi'
Q65219807	'Vijay Kumar Bakshi'
Q31313976	nan
Q27964642	'C/O Saira Banu'
Q7387598	'S. K. Vedarathinam'
Q5429402	'Faggan Singh Kulaste'
Q912	'Mali'
Q6443709	'Kumbanad'
Q27947599	'Prodip Hazarika'
Q65230490	'Tek Bahadur Gurung'
Q31702895	nan
Q102292905	'M. Kunhikannan Nambiar'
Q41488586	'The Smith College Medal'
Q12446452	'Maneklal Sankalchand Thacker'
Q158233	'Tabu'
Q102715565	'Lubomir Bourdev'
Q8071382	'Ziauddin Ahmad'
Q3595924	'Qāriʾ'
Q7640366	'Sunit Singh'
Q63998810	'Vijay Laxman Sarode'
Q106681773	'Maroti Korwate'
Q2160037	'United Provinces of Agra and Oudh'
Q63997295	'Anwar'
Q105989440	'2016 Kerala Legislative Assembly election in Koyilandy State Assembly constituency'
Q3107617	'Girija Devi'
Q4294596	'Ministry of Corporate Affairs'
Q42743	'Lakhimpur district'
Q356314	'John Aloysius Ward'
Q4849740	'Balachandra Menon'
Q31734435	'Renu Sen'
Q56701898	'Ira Khan'
Q23017970	'Philomena Torresan'
Q5384774	'Era Bernard'
Q53870549	'Jacob Varghese'
Q65217737	'Inderjeet Singh Babbar'
Q5575406	'Gobar Guha'
Q16006406	'Indira Devi'
Q18808814	'Kunnenkeril K. Jacob'
Q45092423	'Shubhankar Sharma'
Q7586374	'Srijato'
Q21007431	'Zain Imam'
Q2425292	'1996 Fed Cup'
Q24548880	'Keegan Pereira'
Q27184789	'badminton at the 1966 British Empire and Commonwealth Games – men\'s singles'
Q64003502	'Patel Shri Dhar Chandrakar'
Q7681432	'Tamilaruvi Manian'
Q7631742	'Subodh Banarjee'
Q924135	'Rang De Basanti'
Q61119346	nan
Q23705202	'Chinmaya Rajaninath Gharekhan'
Q17641338	'Atul Verma'
Q5201137	'Cyrus Poncha'
Q63998454	'Mirza Afsar Beg'
Q31331921	nan
Q1100281	'Clement Tirkey'
Q61715833	'Anandamanjari Debi'
Q23908884	'P Vijay Kumar'
Q37545823	'Vakil'
Q27513053	'Atanu Sabyasachi Nayak'
Q3351097	'Gaganendranath Tagore'
Q4751424	'Anant Balani'
Q66761018	'Sheetal Kalyani'
Q5584313	'Gopinathpur, Odisha'
Q4878544	'Bechar Bhadani'
Q3249585	'National College of Arts'
Q61943881	'Prosanto Kumar Sen'
Q89414277	'Chetan Slathia'
Q63985869	'Navbharat Nirman Party'
Q55243426	'Category:Ravi Shankar'
Q17318861	'Parmanand Rishideo'
Q277258	'Karaikal'
Q61652343	'Trilochan Mansing Harichandan'
Q1850207	'Sanjay Purohit'
Q61510051	'Kengam Surya Rao'
Q4938873	'Bola Chittaranjan Das Shetty'
Q62618695	'Rajdhani Book Fair Award'
Q31323179	nan
Q63988162	'2014 Indian general election in Bhagalpur Lok Sabha constituency'
Q46995362	'M. S. Sanjeevi Rao'
Q16850152	'Basanta Singh'
Q56216545	'Gurera'
Q56678457	'Atharwa Taide'
Q31319321	'Vijoon Vasan Aayoon'
Q31329966	nan
Q65223019	'Pandurang hmukh'
Q16732084	'Shilpi Marwaha'
Q107287677	'Jamini'
Q470772	'Rahul Dravid'
Q1833370	'Roy Radner'
Q63988032	'2014 Indian general election in Warangal Lok Sabha constituency'
Q6017678	'Inder Raj Anand'
Q61488617	'Bijaya Kumar Mohanty'
Q64868898	'Sasmit Patra'
